NORMAL,APT,RECON,TRAFFIC_SPIKE,NR_MALWARE
1.7668613,2.0476174,2.4497986,0.21352924,0.93361014
2.6753964,0.38612273,2.4748013,1.9395213,1.0573094
1.2900047,2.0569148,2.4449172,0.19714573,1.1961715
1.5032386,0.26737058,2.7550051,0.35349217,1.5792899
1.5639068,0.31211928,2.638128,1.9667033,2.2013638
0.7979897,2.031342,2.8334348,0.31552124,1.8271677
1.1380002,0.31027442,2.4528058,0.22645554,0.5064742
1.1149755,2.2924132,2.7415233,0.20702593,1.0204057
1.5476005,0.2027785,2.443454,0.22731534,0.8652521
1.7606165,0.31858796,2.670127,1.5504736,0.27728027
2.0251997,0.24312061,2.4430017,1.6061457,0.87475795
2.2264466,0.44200912,2.4536097,0.22066773,1.3259333
0.64869297,2.1064944,2.4506924,1.6438851,0.52248585
1.9581174,2.0582001,2.6193411,0.23668392,0.68727535
2.5681152,0.29070243,2.8719263,1.6279546,1.7532828
0.30976185,0.30513924,2.4568827,1.8209499,1.9805406
2.1070392,2.1233757,2.5555716,1.4381324,0.32902083
0.35565212,2.074829,2.7105143,1.8539597,1.5960816
0.4959091,0.45624465,2.4461272,0.33231246,2.2107902
1.197268,0.24249215,3.0859768,0.23630303,0.2557448
0.49794254,0.31643975,2.633603,0.40061805,1.4930432
1.7699852,2.1232097,2.444882,1.4991771,1.1107593
1.7757164,2.0840757,2.8695006,0.29387885,0.5739663
0.24084567,0.5694775,2.6934574,0.26501006,1.9394962
1.8285433,2.0123343,2.5431666,0.1712637,0.78597933
0.91368675,0.20082548,3.203158,0.16904904,1.5797803
0.9277755,0.4067469,2.4795763,1.8678697,0.64895695
1.8173357,2.1209605,3.0286567,1.5624071,0.53372
0.9779278,0.45859575,3.0227675,0.2529669,2.4639566
1.1381874,0.25209874,2.701416,0.13150598,0.9248931
1.6829644,2.120236,3.1137893,1.6254295,1.4408668
1.9208618,2.0679162,2.4545367,1.704386,1.5642351
2.1140325,0.2835742,2.563578,0.29491013,2.6333337
0.47283846,0.31794304,2.45055,1.7627369,0.81000984
0.49701923,0.46593913,2.442956,0.2066069,1.6027153
2.0360856,0.297226,2.4791172,2.1020634,0.28877923
1.5646921,0.2468889,2.4949324,1.8550937,0.4936562
2.0816205,0.18681146,2.7284727,1.5973142,1.4803734
0.71284294,1.9993333,3.231602,1.8054036,0.98705155
1.451158,0.3949294,3.1185873,0.17603284,0.8823892
1.3504692,2.0371099,3.0183733,1.7821445,1.1773137
0.90823275,0.21101646,2.851513,1.9120575,0.585486
1.624569,2.018471,2.83032,0.29192147,0.86183333
1.7679629,0.4707727,2.455056,0.19131397,0.28429696
1.3470308,0.22505233,2.647977,0.23616025,1.2322143
2.9357638,0.18969621,2.4632325,0.22919483,1.1190778
0.9276015,0.31777126,2.623124,1.8076302,0.32137078
1.100532,2.2033591,2.6313474,0.15362935,0.25665
1.7653711,0.40056175,2.4596758,0.18783052,1.2829323
0.76374424,2.0689514,2.4315126,0.13330178,1.6914461
1.4951341,0.49713323,2.5167913,0.1933276,2.4118693
0.9116953,2.0260575,2.6161265,1.5507141,0.8006265
1.5640016,2.0045843,2.439052,0.20004283,1.3949034
1.7182307,2.162368,2.4857955,0.19181867,0.6190995
0.92061275,2.222503,2.7270827,0.27958646,1.6744653
2.4937644,0.287232,2.8324125,0.18871544,1.1789623
2.0937455,2.0272229,2.527803,1.7092575,0.70067847
1.6991124,0.16756064,2.4598243,0.26763016,1.3161167
0.63881457,2.127842,2.7738621,0.41330808,1.2503585
0.9141933,2.1685922,2.6719742,2.0249934,0.22870746
1.917464,2.027456,2.454017,2.045604,1.4168789
2.0428216,2.0764945,2.4471622,1.8883363,1.1760306
1.6555545,0.43415847,2.5014718,0.15984179,1.787077
0.27552179,0.16728264,2.9310098,1.3364568,0.36121884
0.9936456,0.4266429,2.6669166,0.1558582,1.6316497
0.71667105,2.0058472,2.463595,0.17063913,0.7598081
1.1958245,0.4487159,2.5472853,0.14372537,2.2944543
0.77000153,2.0612915,2.5256505,0.33080423,2.173128
2.599846,0.17380738,2.4747498,0.2333362,1.4999152
0.12670457,0.31661567,2.506348,1.8318384,1.2380434
2.5842433,2.0446067,2.743264,0.39423588,2.1643136
0.91310364,2.2036083,2.4431205,0.19360937,1.9167627
1.1417305,2.1355743,2.5895386,0.3136229,1.1460878
0.7210589,2.085421,2.5026848,2.089978,1.2467326
1.21068,0.38141516,2.4750428,2.0823095,0.73223096
0.5865008,2.0548985,2.988621,0.25413346,0.8916479
1.6726772,0.23777278,2.4889197,1.8199267,1.4660128
1.8745776,0.19806299,2.9908762,1.7728969,0.68617284
1.7889163,2.0435393,2.7074707,1.6589433,0.48159173
0.87013155,0.34347817,2.494793,1.6907423,1.7909014
1.0224246,0.23769487,2.7573855,0.2495016,1.8612181
0.4786537,0.53346294,2.6634555,1.6925534,1.7426028
0.5845812,0.39548868,2.624251,0.2794705,0.4665328
0.98152417,0.43760556,2.6429586,1.7342436,1.0605522
2.095374,0.31026632,2.453076,1.6676835,0.40939105
0.9560388,0.19939013,2.471875,1.3647453,1.3469951
1.0147977,0.54018706,2.935456,1.8002055,2.5213017
2.265804,2.0475028,2.4469893,0.3047204,0.69996953
1.1426804,0.50370806,2.4540505,0.19196405,1.3932301
0.44539288,2.136509,2.8466318,1.6807743,1.3893088
0.5137123,0.2263545,3.16408,1.9187121,0.28406826
1.1320847,2.0962596,2.9894342,0.17941305,1.503194
1.4998518,0.17571138,2.6974883,1.7317948,1.339658
0.6124169,0.38509196,3.0584693,0.17438515,0.55959404
1.1143919,0.44786125,2.5152175,1.3726285,2.11074
1.4252168,2.167292,2.69604,0.37659034,1.7206134
0.84447294,1.9141873,2.5374613,1.6510651,1.1110517
1.0506253,0.14827052,2.5129335,0.18043093,1.9808999
0.28667715,0.24925481,3.1417513,1.6034454,1.5226573
1.2962624,0.26433864,3.1875207,1.9994713,2.1525073
1.2967739,0.3319756,2.4430614,0.18035142,1.5407873
1.1562083,2.1061502,2.5843844,0.33754393,0.884334
0.9923134,2.1394858,2.6109242,0.1954332,2.0432718
0.74832726,2.1467474,2.9740877,0.19659899,1.4443098
1.1371056,2.061366,2.8099403,0.22457235,0.908363
1.5280155,0.31891954,3.2405462,1.5593204,1.6123897
1.7886794,0.26406655,2.6244507,1.5907418,1.2098536
0.6445758,2.1128335,2.4535494,0.2847044,0.57248765
0.7542101,2.0940537,3.2362633,1.5634063,0.9059982
2.4688277,2.0458899,2.5905328,0.1927862,0.867977
1.1406592,2.035121,2.4788742,0.18149428,2.5673103
0.59644884,2.111791,2.5240946,1.8061388,1.3169104
1.0594128,0.32306394,2.6724267,1.5703914,2.261993
0.80613226,1.9890478,2.8741968,1.5317996,0.6714516
1.1196997,1.9518886,2.88436,1.8494457,2.1288486
1.067611,2.206927,2.6259444,0.16348504,0.9446965
1.0399644,0.21806245,3.178044,0.14797755,2.3842766
0.19229522,2.0420244,3.180929,0.14150669,1.227056
0.20110972,2.029766,2.4919753,1.695678,0.8499065
0.9083841,0.20404962,2.4473987,1.6554134,1.0297278
1.7043595,2.0325768,3.0729842,0.14881034,1.9664913
2.2763066,0.17112279,2.4462886,1.5877849,1.0084431
1.6590574,2.1408865,2.5701876,0.12516803,0.6694136
1.5867203,0.27243713,2.5722365,1.6254603,1.3580582
1.4616742,2.1547232,2.5039353,0.1799001,0.9503818
1.4713421,2.1695228,2.6143103,1.6378032,0.56556106
1.4933536,0.33203802,2.514766,2.0892026,0.44517484
1.2965165,0.291288,2.835177,1.7165242,1.7435635
1.0470985,2.1342065,3.0770144,0.20448563,0.47973368
0.7476409,0.5959801,2.9566054,1.9003881,1.5095567
1.0833834,2.0888398,2.5260828,0.30187228,0.64900094
1.2633536,0.2602038,2.9038756,0.1677921,0.5724612
1.8335717,2.024699,2.9194617,0.2676367,0.61172175
1.619399,2.1271331,3.1838915,1.8100055,1.7180179
1.2155993,2.0118012,2.4613135,0.37349957,1.3766454
3.3025186,0.44970375,2.9241633,1.8473028,0.43655384
2.7725585,0.2865687,2.5318983,0.32073975,1.7643343
1.2991866,2.1180274,2.6871219,0.1638797,0.47253844
1.0329648,2.0585814,2.5669572,1.6267697,1.3883921
2.3678412,2.0399506,2.6054084,1.5663044,0.5385459
0.9076913,2.2758336,3.0664992,2.010495,1.196429
1.1688733,0.23936199,2.4531808,1.564558,1.3318847
1.2644378,1.9654475,2.4542923,0.25172707,1.9756091
1.1494334,2.1447604,2.4510431,0.41950208,0.7152394
0.91191447,2.1011205,2.6038978,1.5778614,1.0621635
1.5204465,2.055663,2.4500654,0.22244027,1.647045
1.3061218,0.16862391,2.4511058,0.21722342,0.25153825
0.51565546,0.17008549,2.676188,0.26616472,1.8323257
1.4936763,0.2129016,2.5024307,1.7813072,0.54287076
1.6161739,2.049212,2.4326541,1.9144244,1.6393014
2.984123,2.0238118,2.7818124,0.36752573,1.5229446
1.6163317,0.415777,3.258084,0.20584948,0.49666226
1.2276402,0.34822342,2.6578128,1.5616086,1.4047351
1.7205504,0.4603499,2.507807,1.5185438,1.4008812
1.4508871,0.28616616,2.7063248,1.7351218,1.0957243
0.97819304,2.0724914,2.447101,1.8362312,1.3031231
1.0567706,0.49187106,2.439012,1.7533722,0.91494375
1.751648,0.38865593,2.8187513,0.1814999,0.64376724
2.9137876,2.0920978,2.664806,1.4875531,1.9647609
1.7634704,1.9689064,2.8594615,1.9048508,0.7092885
1.7692927,2.222211,2.4950306,0.12685525,0.9010628
