leaf_id,depth,purity,n_samples,dominant_class,dominant_count,total_count
3,3,0.6000000000000001,5,RECON,0,1
5,4,1.0,5,RECON,1,1
6,4,1.0,7,RECON,1,1
11,6,1.0,81,APT,1,1
13,7,0.6890684814972352,11,APT,0,0
14,7,1.0,11,APT,1,1
16,6,1.0,1813,APT,1,1
18,7,0.8159153865525056,10,APT,0,1
19,7,1.0,176,APT,1,1
21,5,1.0,31,APT,1,1
23,6,0.5751376868607396,5,RECON,0,0
24,6,1.0,20,APT,1,1
25,3,0.752832131822863,5,NORMAL,0,1
28,3,1.0,485,NORMAL,1,1
34,8,0.8,5,RECON,0,1
35,8,0.6000000000000001,5,RECON,0,1
36,7,1.0,8,RECON,1,1
43,12,1.0,587,TRAFFIC_SPIKE,1,1
45,13,0.7142857142857143,6,NORMAL,0,1
47,14,1.0,6,TRAFFIC_SPIKE,1,1
48,14,1.0,40,TRAFFIC_SPIKE,1,1
51,13,1.0,8,NORMAL,1,1
54,15,1.0,5,TRAFFIC_SPIKE,1,1
55,15,1.0,8,TRAFFIC_SPIKE,1,1
56,14,0.5,6,NORMAL,0,1
59,14,1.0,11,TRAFFIC_SPIKE,1,1
60,14,1.0,42,TRAFFIC_SPIKE,1,1
62,14,0.5555555555555556,5,NORMAL,0,1
63,14,1.0,6,TRAFFIC_SPIKE,1,1
65,11,1.0,8,NORMAL,1,1
67,12,0.5555555555555556,5,RECON,0,1
68,12,1.0,19,TRAFFIC_SPIKE,1,1
70,10,1.0,6,NORMAL,1,1
71,10,1.0,5,NORMAL,1,1
79,15,0.5555555555555556,5,NORMAL,0,1
80,15,1.0,76,TRAFFIC_SPIKE,1,1
81,14,1.0,1150,TRAFFIC_SPIKE,1,1
83,14,0.5555555555555556,5,NORMAL,0,1
84,14,1.0,58,TRAFFIC_SPIKE,1,1
86,13,0.75,8,NORMAL,0,1
87,13,1.0,131,TRAFFIC_SPIKE,1,1
89,12,1.0,15,TRAFFIC_SPIKE,1,1
90,12,0.7142857142857143,6,NORMAL,0,1
91,10,1.0,3125,TRAFFIC_SPIKE,1,1
92,9,0.7142857142857143,9,NORMAL,0,0
94,8,1.0,5,NORMAL,1,1
95,8,1.0,7,NORMAL,1,1
98,7,0.9090909090909092,6,NORMAL,0,1
99,7,1.0,36,NORMAL,1,1
102,8,0.6000000000000001,5,NORMAL,0,1
104,9,1.0,8,NORMAL,1,1
105,9,0.7692307692307693,5,NORMAL,0,0
107,8,1.0,72,TRAFFIC_SPIKE,1,1
108,8,0.5555555555555556,5,NORMAL,0,1
111,6,1.0,48,RECON,1,1
112,6,1.0,5,NORMAL,1,1
113,5,1.0,255,NORMAL,1,1
118,6,1.0,11,NORMAL,1,1
119,6,1.0,995,RECON,1,1
121,6,0.752832131822863,5,NORMAL,0,1
122,6,1.0,94,NORMAL,1,1
124,5,1.0,260,NR_MALWARE,1,1
126,6,0.8903775883069428,5,NORMAL,0,0
127,6,1.0,8,NORMAL,1,1
130,5,0.4,5,NORMAL,0,1
131,5,1.0,51,NORMAL,1,1
135,7,0.752832131822863,5,NORMAL,0,1
136,7,1.0,33,APT,1,1
138,7,1.0,8,NORMAL,1,1
143,11,1.0,644,NR_MALWARE,1,1
146,13,1.0,105,NR_MALWARE,1,1
148,14,1.0,20,NR_MALWARE,1,1
149,14,0.8,5,NR_MALWARE,0,1
151,13,1.0,14,NR_MALWARE,1,1
152,13,0.6000000000000001,5,NORMAL,0,1
155,12,1.0,6,NR_MALWARE,1,1
156,12,0.6000000000000001,5,NR_MALWARE,0,1
157,11,1.0,18,NR_MALWARE,1,1
158,9,0.6000000000000001,5,NR_MALWARE,0,1
159,8,1.0,5,NORMAL,1,1
160,5,1.0,20,NORMAL,1,1
