leaf_id,purity,n_samples,dominant_class
6,1.0,135,NORMAL
7,1.0,1909,NORMAL
12,0.5000482522447184,217,APT
13,0.9828387062368343,5,NR_MALWARE
15,1.0,5,APT
16,1.0,17,APT
17,1.0,13,TRAFFIC_SPIKE
18,1.0,104,NORMAL
24,0.7723831951052764,6,RECON
25,0.4074525589081086,5,RECON
27,0.36500843563714414,32,NR_MALWARE
31,0.9080121866485938,140,NR_MALWARE
32,0.8655891912965197,80,NR_MALWARE
33,1.0,12,NR_MALWARE
37,0.6575685837319699,46,NR_MALWARE
38,0.5835946267034016,35,NR_MALWARE
39,0.6624966314886396,77,NR_MALWARE
43,0.9415456768062197,17,NR_MALWARE
44,0.8910415252220159,92,NR_MALWARE
45,0.9502245412501096,21,NR_MALWARE
46,0.7115449281556718,45,NR_MALWARE
50,0.6193232228588487,5,TRAFFIC_SPIKE
51,0.6306944992676772,5,TRAFFIC_SPIKE
53,0.49852521911096415,9,NR_MALWARE
56,0.4757285882437096,46,APT
57,0.3966808447781034,13,APT
58,0.36696882413115867,7,RECON
61,0.7301359199704613,11,NR_MALWARE
63,1.0,10,NR_MALWARE
65,1.0,5,NR_MALWARE
66,0.8226715953406359,7,NR_MALWARE
68,1.0,7,TRAFFIC_SPIKE
69,0.591944776864613,7,NR_MALWARE
76,0.9555090860386946,5,NR_MALWARE
77,0.9772484238099699,8,NR_MALWARE
78,1.0,5,NR_MALWARE
79,0.885541525875867,5,NR_MALWARE
81,0.959779231560013,8,NR_MALWARE
82,0.957825092221739,75,NR_MALWARE
85,0.8845741458445673,376,NR_MALWARE
86,0.8642360087787323,279,NR_MALWARE
89,0.9686777229697413,79,NR_MALWARE
91,0.8595564973071517,103,NR_MALWARE
93,0.9594407276710695,122,NR_MALWARE
95,0.8871069147244387,110,NR_MALWARE
97,0.941108198074805,242,NR_MALWARE
98,0.9051693229537585,5,NR_MALWARE
101,0.8614247386082654,78,NR_MALWARE
102,0.9662564946810462,6,NR_MALWARE
103,0.8824622442301262,137,NR_MALWARE
105,0.7157611418782174,6,NR_MALWARE
106,0.8770488671531731,5,NR_MALWARE
