threshold,n_high_purity,n_low_purity,pct_high_purity,mean_high_purity
0.5,80,1,98.77,0.891
0.51,79,2,97.53,0.8959
0.52,79,2,97.53,0.8959
0.53,79,2,97.53,0.8959
0.54,79,2,97.53,0.8959
0.55,79,2,97.53,0.8959
0.56,74,7,91.36,0.9189
0.57,74,7,91.36,0.9189
0.58,73,8,90.12,0.9236
0.59,73,8,90.12,0.9236
0.6,73,8,90.12,0.9236
0.61,67,14,82.72,0.9526
0.62,67,14,82.72,0.9526
0.63,67,14,82.72,0.9526
0.64,67,14,82.72,0.9526
0.65,67,14,82.72,0.9526
0.66,67,14,82.72,0.9526
0.67,67,14,82.72,0.9526
0.68,67,14,82.72,0.9526
0.69,66,15,81.48,0.9566
0.7,66,15,81.48,0.9566
0.71,66,15,81.48,0.9566
0.72,63,18,77.78,0.9681
0.73,63,18,77.78,0.9681
0.74,63,18,77.78,0.9681
0.75,62,19,76.54,0.9717
0.76,59,22,72.84,0.9828
0.77,58,23,71.6,0.9865
0.78,58,23,71.6,0.9865
0.79,58,23,71.6,0.9865
0.8,56,25,69.14,0.9931
0.81,56,25,69.14,0.9931
0.82,55,26,67.9,0.9964
0.83,55,26,67.9,0.9964
0.84,55,26,67.9,0.9964
0.85,55,26,67.9,0.9964
0.86,55,26,67.9,0.9964
0.87,55,26,67.9,0.9964
0.88,55,26,67.9,0.9964
0.89,55,26,67.9,0.9964
0.9,54,27,66.67,0.9983
0.91,53,28,65.43,1.0
0.92,53,28,65.43,1.0
0.93,53,28,65.43,1.0
0.94,53,28,65.43,1.0
0.95,53,28,65.43,1.0
0.96,53,28,65.43,1.0
0.97,53,28,65.43,1.0
0.98,53,28,65.43,1.0
0.99,53,28,65.43,1.0
1.0,0,81,0.0,0.0
