experiment,macro_f1,normal_f1,apt_f1,recon_f1,ts_f1,nrm_f1,apt_recall,recon_recall,ts_recall,nrm_recall,ae_apt_detection,ae_recon_detection,ae_ts_detection,ae_nrm_detection,ae_fpr,dt_node_count,dt_depth,notes
baseline,0.1306,0.645,0.008,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.2438,0.0001,0.3076,0.0281,0.0603,1533,15,dt_lite_v1 + ae_lite_v1
exp1_balanced_entropy,0.969,0.9949,0.9829,0.999,0.9958,0.8722,0.9953,0.9994,0.9986,0.9949,0,0,0,0,0,543,12,depth=12 balanced entropy no-SMOTE
exp2_smote,0.9668,0.9951,0.9872,0.999,0.9959,0.8568,0.9941,0.9993,0.9986,0.9949,0,0,0,0,0,501,12,depth=12 balanced entropy SMOTE
exp3_depth15,0.9878,0.9977,0.9904,0.9991,0.9985,0.9533,0.9966,0.9994,0.9994,0.9923,0,0,0,0,0,767,15,SMOTE+balanced+entropy+depth15 hw=PASS
exp3_depth18,0.9871,0.998,0.9921,0.9989,0.9988,0.9475,0.9966,0.9993,0.9992,0.9923,0,0,0,0,0,983,18,SMOTE+balanced+entropy+depth18 hw=PASS
exp3_depth20,0.9877,0.998,0.9918,0.999,0.9989,0.951,0.9966,0.9995,0.9992,0.9923,0,0,0,0,0,1091,20,SMOTE+balanced+entropy+depth20 hw=PASS
exp4_configA,0.9833,0.9977,0.9924,0.9992,0.9987,0.9284,0.9969,0.9997,0.9996,0.9949,0,0,0,0,0,753,15,"weights={0: 1.0, 1: 10.0, 2: 6.0, 3: 2.0, 4: 4.0} SMOTE depth=15"
exp4_configB,0.9871,0.9979,0.9901,0.999,0.9989,0.9497,0.9978,0.9995,0.9994,0.9898,0,0,0,0,0,787,15,"weights={0: 1.0, 1: 20.0, 2: 10.0, 3: 2.0, 4: 6.0} SMOTE depth=15"
exp4_configC,0.9862,0.9977,0.9903,0.999,0.9989,0.9451,0.9978,0.9996,0.9994,0.9898,0,0,0,0,0,781,15,"weights={0: 1.0, 1: 15.0, 2: 8.0, 3: 3.0, 4: 5.0} SMOTE depth=15"
exp5_fpr01,0.9878,0.9977,0.9904,0.9991,0.9985,0.9533,0.9966,0.9994,0.9994,0.9923,0.0009,0.0,0.0024,0.0281,0.0099,767,15,ae_v1+tuned_thresh_fpr01=5.253406
exp5_fpr05,0.9878,0.9977,0.9904,0.9991,0.9985,0.9533,0.9966,0.9994,0.9994,0.9923,0.0028,0.0001,0.248,0.0281,0.0491,767,15,ae_v1+tuned_thresh_fpr05=2.626114
exp5_youden,0.9878,0.9977,0.9904,0.9991,0.9985,0.9533,0.9966,0.9994,0.9994,0.9923,0.8092,0.9996,0.9999,0.3785,0.5341,767,15,ae_v1+tuned_thresh_youden=0.247011
exp6_vae,0.9878,0.9977,0.9904,0.9991,0.9985,0.9533,0.9966,0.9994,0.9994,0.9923,0.0031,0.0004,0.5113,0.0281,0.0504,767,15,VAE PyTorch beta=0.001 fpr05 threshold
