experiment                      macroF1  norm_f1   apt_f1   nrm_f1  apt_rec  ae_apt   ae_ts  ae_nrm ae_fpr  nodes
---------------------------------------------------------------------------------------------------------
baseline                         0.1306    0.645    0.008      0.0    0.004  0.2438  0.3076  0.0281 0.0603   1533
exp1_balanced_entropy             0.969   0.9949   0.9829   0.8722   0.9953       0       0       0      0    543
exp2_smote                       0.9668   0.9951   0.9872   0.8568   0.9941       0       0       0      0    501
exp3_depth15                     0.9878   0.9977   0.9904   0.9533   0.9966       0       0       0      0    767
exp3_depth18                     0.9871    0.998   0.9921   0.9475   0.9966       0       0       0      0    983
exp3_depth20                     0.9877    0.998   0.9918    0.951   0.9966       0       0       0      0   1091
exp4_configA                     0.9833   0.9977   0.9924   0.9284   0.9969       0       0       0      0    753
exp4_configB                     0.9871   0.9979   0.9901   0.9497   0.9978       0       0       0      0    787
exp4_configC                     0.9862   0.9977   0.9903   0.9451   0.9978       0       0       0      0    781
exp5_fpr01                       0.9878   0.9977   0.9904   0.9533   0.9966  0.0009  0.0024  0.0281 0.0099    767
exp5_fpr05                       0.9878   0.9977   0.9904   0.9533   0.9966  0.0028   0.248  0.0281 0.0491    767
exp5_youden                      0.9878   0.9977   0.9904   0.9533   0.9966  0.8092  0.9999  0.3785 0.5341    767
exp6_vae                         0.9878   0.9977   0.9904   0.9533   0.9966  0.0031  0.5113  0.0281 0.0504    767
